trip_id,arrival_time,departure_time,stop_id,stop_sequence
SLE_1632WKD,15:48:00,15:48:00,MAD,5
SLE_1632WKD,15:53:00,15:53:00,CLN,6
SLE_1632WKD,15:58:00,15:58:00,WBK,7
SLE_1632WKD,16:07:00,16:07:00,OSB,8
AT_174WKD,15:36:00,15:40:00,NHU,1
AT_174WKD,16:34:00,16:34:00,NLD,2
SLE_1636WKD,16:27:00,16:27:00,NHU,1
SLE_1636WKD,16:29:00,16:29:00,NHS,2
SLE_1636WKD,16:40:00,16:40:00,BFD,3
SLE_1636WKD,16:48:00,16:48:00,GFD,4
SLE_1636WKD,16:54:00,16:54:00,MAD,5
SLE_1636WKD,16:59:00,16:59:00,CLN,6
SLE_1636WKD,17:04:00,17:04:00,WBK,7
SLE_1636WKD,17:15:00,17:15:00,OSB,8
SLE_1636WKD,17:40:00,17:40:00,NLD,9
SLE_1638WKD,17:12:00,17:12:00,NHU,1
SLE_1638WKD,17:14:00,17:14:00,NHS,2
SLE_1638WKD,17:25:00,17:25:00,BFD,3
SLE_1638WKD,17:34:00,17:34:00,GFD,4
SLE_1638WKD,17:39:00,17:39:00,MAD,5
SLE_1638WKD,17:44:00,17:44:00,CLN,6
SLE_1638WKD,17:49:00,17:49:00,WBK,7
SLE_1638WKD,17:57:00,17:57:00,OSB,8
AT_176WKD,17:10:00,17:10:00,NHU,1
AT_176WKD,17:45:00,17:45:00,OSB,2
AT_176WKD,18:10:00,18:10:00,NLD,3
SLE_1640WKD,17:42:00,17:42:00,NHU,1
SLE_1640WKD,17:44:00,17:44:00,NHS,2
SLE_1640WKD,17:58:00,17:58:00,BFD,3
SLE_1640WKD,18:06:00,18:06:00,GFD,4
SLE_1640WKD,18:13:00,18:13:00,MAD,5
SLE_1640WKD,18:19:00,18:19:00,CLN,6
SLE_1640WKD,18:25:00,18:25:00,WBK,7
SLE_1640WKD,18:34:00,18:34:00,OSB,8
SLE_1640WKD,19:00:00,19:00:00,NLD,9
SLE_1644WKD,18:04:00,18:04:00,NHU,1
SLE_1644WKD,18:06:00,18:06:00,NHS,2
SLE_1644WKD,18:17:00,18:17:00,BFD,3
SLE_1644WKD,18:25:00,18:25:00,GFD,4
SLE_1644WKD,18:31:00,18:31:00,MAD,5
SLE_1644WKD,18:36:00,18:36:00,CLN,6
SLE_1644WKD,18:41:00,18:41:00,WBK,7
SLE_1644WKD,18:49:00,18:49:00,OSB,8
SLE_1646WKD,18:35:00,18:35:00,NHU,1
SLE_1646WKD,18:37:00,18:37:00,NHS,2
SLE_1646WKD,18:48:00,18:48:00,BFD,3
SLE_1646WKD,18:56:00,18:56:00,GFD,4
SLE_1646WKD,19:02:00,19:02:00,MAD,5
SLE_1646WKD,19:07:00,19:07:00,CLN,6
SLE_1646WKD,19:12:00,19:12:00,WBK,7
SLE_1646WKD,19:18:00,19:18:00,OSB,8
SLE_1646WKD,19:45:00,19:45:00,NLD,9
SLE_1656WKD,19:05:00,19:05:00,NHU,1
SLE_1656WKD,19:07:00,19:07:00,NHS,2
SLE_1656WKD,19:18:00,19:18:00,BFD,3
SLE_1656WKD,19:26:00,19:26:00,GFD,4
SLE_1656WKD,19:32:00,19:32:00,MAD,5
SLE_1656WKD,19:37:00,19:37:00,CLN,6
SLE_1656WKD,19:42:00,19:42:00,WBK,7
SLE_1656WKD,19:50:00,19:50:00,OSB,8
AT_94WKD,19:12:00,19:12:00,NHU,1
AT_94WKD,19:40:00,19:40:00,OSB,2
AT_94WKD,19:59:00,19:59:00,NLD,3
SLE_1668WKD,19:54:00,19:54:00,NHU,1
SLE_1668WKD,19:56:00,19:56:00,NHS,2
SLE_1668WKD,20:07:00,20:07:00,BFD,3
SLE_1668WKD,20:17:00,20:17:00,GFD,4
SLE_1668WKD,20:23:00,20:23:00,MAD,5
SLE_1668WKD,20:28:00,20:28:00,CLN,6
SLE_1668WKD,20:33:00,20:33:00,WBK,7
SLE_1668WKD,20:39:00,20:39:00,OSB,8
SLE_1674WKD,20:50:00,20:50:00,NHU,1
SLE_1674WKD,20:52:00,20:52:00,NHS,2
SLE_1674WKD,21:03:00,21:03:00,BFD,3
SLE_1674WKD,21:11:00,21:11:00,GFD,4
SLE_1674WKD,21:17:00,21:17:00,MAD,5
SLE_1674WKD,21:22:00,21:22:00,CLN,6
SLE_1674WKD,21:27:00,21:27:00,WBK,7
SLE_1674WKD,21:33:00,21:33:00,OSB,8
SLE_1674WKD,22:00:00,22:00:00,NLD,9
AT_178WKD,21:33:00,21:33:00,NHU,1
AT_178WKD,22:02:00,22:02:00,OSB,2
AT_178WKD,22:22:00,22:22:00,NLD,3
SLE_1682WKD,22:02:00,22:02:00,NHU,1
SLE_1682WKD,22:07:00,22:07:00,NHS,2
SLE_1682WKD,22:18:00,22:18:00,BFD,3
SLE_1682WKD,22:28:00,22:28:00,GFD,4
SLE_1682WKD,22:34:00,22:34:00,MAD,5
SLE_1682WKD,22:39:00,22:39:00,CLN,6
SLE_1682WKD,22:44:00,22:44:00,WBK,7
SLE_1682WKD,22:55:00,22:55:00,OSB,8
SLE_3613WEH,7:00:00,7:00:00,OSB,1
SLE_3613WEH,7:05:00,7:05:00,WBK,2
SLE_3613WEH,7:10:00,7:10:00,CLN,3
SLE_3613WEH,7:15:00,7:15:00,MAD,4
SLE_3613WEH,7:21:00,7:21:00,GFD,5
SLE_3613WEH,7:29:00,7:29:00,BFD,6
SLE_3613WEH,7:42:00,7:42:00,NHS,7
SLE_3613WEH,7:45:00,7:45:00,NHU,8
SLE_3621WEH,8:55:00,8:55:00,OSB,1
SLE_3621WEH,9:00:00,9:00:00,WBK,2
SLE_3621WEH,9:05:00,9:05:00,CLN,3
SLE_3621WEH,9:10:00,9:10:00,MAD,4
SLE_3621WEH,9:16:00,9:16:00,GFD,5
SLE_3621WEH,9:24:00,9:24:00,BFD,6
SLE_3621WEH,9:37:00,9:37:00,NHS,7
SLE_3621WEH,9:40:00,9:40:00,NHU,8
SLE_3629WEH,10:55:00,10:55:00,OSB,1
SLE_3629WEH,11:00:00,11:00:00,WBK,2
SLE_3629WEH,11:05:00,11:05:00,CLN,3
SLE_3629WEH,11:10:00,11:10:00,MAD,4
SLE_3629WEH,11:16:00,11:16:00,GFD,5
SLE_3629WEH,11:24:00,11:24:00,BFD,6
SLE_3629WEH,11:37:00,11:37:00,NHS,7
SLE_3629WEH,11:40:00,11:40:00,NHU,8
SLE_3637WEH,12:55:00,12:55:00,OSB,1
SLE_3637WEH,13:00:00,13:00:00,WBK,2
SLE_3637WEH,13:05:00,13:05:00,CLN,3
SLE_3637WEH,13:10:00,13:10:00,MAD,4
SLE_3637WEH,13:16:00,13:16:00,GFD,5
SLE_3637WEH,13:33:00,13:33:00,NHS,6
SLE_3637WEH,13:36:00,13:36:00,NHU,7
SLE_3645WEH,15:00:00,15:00:00,OSB,1
SLE_3645WEH,15:13:00,15:13:00,GFD,2
SLE_3645WEH,15:35:00,15:35:00,NHS,3
SLE_3645WEH,15:38:00,15:38:00,NHU,4
SLE_3653WEH,17:00:00,17:00:00,OSB,1
SLE_3653WEH,17:13:00,17:13:00,GFD,2
SLE_3653WEH,17:35:00,17:35:00,NHS,3
SLE_3653WEH,17:38:00,17:38:00,NHU,4
SLE_3661WEH,19:04:00,19:04:00,OSB,1
SLE_3661WEH,19:17:00,19:17:00,GFD,2
SLE_3661WEH,19:37:00,19:37:00,NHS,3
SLE_3661WEH,19:40:00,19:40:00,NHU,4
SLE_3673WEH,21:05:00,21:05:00,OSB,1
SLE_3673WEH,21:18:00,21:18:00,GFD,2
SLE_3673WEH,21:40:00,21:40:00,NHS,3
SLE_3673WEH,21:43:00,21:43:00,NHU,4
SLE_3604WEH,8:00:00,8:00:00,NHU,1
SLE_3604WEH,8:02:00,8:02:00,NHS,2
SLE_3604WEH,8:18:00,8:18:00,GFD,3
SLE_3604WEH,8:38:00,8:38:00,OSB,4
SLE_3610WEH,10:04:00,10:04:00,NHU,1
SLE_3610WEH,10:06:00,10:06:00,NHS,2
SLE_3610WEH,10:25:00,10:25:00,GFD,3
SLE_3610WEH,10:42:00,10:42:00,OSB,4
SLE_3618WEH,12:02:00,12:02:00,NHU,1
SLE_3618WEH,12:04:00,12:04:00,NHS,2
SLE_3618WEH,12:20:00,12:20:00,GFD,3
SLE_3618WEH,12:40:00,12:40:00,OSB,4
SLE_3626WEH,14:02:00,14:02:00,NHU,1
SLE_3626WEH,14:04:00,14:04:00,NHS,2
SLE_3626WEH,14:15:00,14:15:00,BFD,3
SLE_3626WEH,14:23:00,14:23:00,GFD,4
SLE_3626WEH,14:29:00,14:29:00,MAD,5
SLE_3626WEH,14:34:00,14:34:00,CLN,6
SLE_3626WEH,14:39:00,14:39:00,WBK,7
SLE_3626WEH,14:47:00,14:47:00,OSB,8
SLE_3034WEH,16:02:00,16:02:00,NHU,1
SLE_3034WEH,16:04:00,16:04:00,NHS,2
SLE_3034WEH,16:15:00,16:15:00,BFD,3
SLE_3034WEH,16:23:00,16:23:00,GFD,4
SLE_3034WEH,16:29:00,16:29:00,MAD,5
SLE_3034WEH,16:34:00,16:34:00,CLN,6
SLE_3034WEH,16:39:00,16:39:00,WBK,7
SLE_3034WEH,16:47:00,16:47:00,OSB,8
SLE_3042WEH,18:08:00,18:08:00,NHU,1
SLE_3042WEH,18:10:00,18:10:00,NHS,2
SLE_3042WEH,18:21:00,18:21:00,BFD,3
SLE_3042WEH,18:29:00,18:29:00,GFD,4
SLE_3042WEH,18:35:00,18:35:00,MAD,5
SLE_3042WEH,18:40:00,18:40:00,CLN,6
SLE_3042WEH,18:45:00,18:45:00,WBK,7
SLE_3042WEH,18:53:00,18:53:00,OSB,8
SLE_3650WEH,20:04:00,20:04:00,NHU,1
SLE_3650WEH,20:06:00,20:06:00,NHS,2
SLE_3650WEH,20:17:00,20:17:00,BFD,3
SLE_3650WEH,20:25:00,20:25:00,GFD,4
SLE_3650WEH,20:31:00,20:31:00,MAD,5
SLE_3650WEH,20:36:00,20:36:00,CLN,6
SLE_3650WEH,20:41:00,20:41:00,WBK,7
SLE_3650WEH,20:49:00,20:49:00,OSB,8
SLE_3658WEH,22:05:00,22:05:00,NHU,1
SLE_3658WEH,22:07:00,22:07:00,NHS,2
SLE_3658WEH,22:18:00,22:18:00,BFD,3
SLE_3658WEH,22:26:00,22:26:00,GFD,4
SLE_3658WEH,22:32:00,22:32:00,MAD,5
SLE_3658WEH,22:37:00,22:37:00,CLN,6
SLE_3658WEH,22:42:00,22:42:00,WBK,7
SLE_3658WEH,22:50:00,22:50:00,OSB,8
